date,death,deathIncrease,hospitalized,hospitalizedIncrease,positive,positiveIncrease,negative,negativeIncrease,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-03-21,0.0,0.007220216606498195,0.0,0.2536115569823435,0.0,0.008438818565400843,0.0,0.055136641453762035,0.48051948051948057,0.6708860759493671,0.5522388059701492,0.5490196078431373,0.8115942028985507,0.36363636363636365
2020-03-22,4.550004550004543e-05,0.0036101083032490976,0.0004246418067722505,0.04333868378812199,0.00015615384615384618,0.012063944850537826,0.00019071472064888955,0.01652108751141606,0.4285714285714286,0.5569620253164557,0.5522388059701492,0.4117647058823529,0.7101449275362318,0.36363636363636365
2020-03-23,9.100009100009097e-05,0.0036101083032490976,0.0009279209851689916,0.051364365971107544,0.0003853846153846154,0.017709633327390503,0.0006060700264986683,0.035981078612743835,0.5064935064935066,0.5569620253164557,0.5522388059701492,0.47058823529411764,0.6666666666666666,0.5454545454545455
2020-03-24,0.0002730002730002729,0.01444043321299639,0.0015884749068147143,0.06741573033707865,0.0005207692307692307,0.010459380757116539,0.0008850460601055486,0.02416692035688359,0.49350649350649356,0.5569620253164557,0.5522388059701492,0.47058823529411764,0.6231884057971014,0.5909090909090909
2020-03-25,0.00045500045500045496,0.01444043321299639,0.0024849409433339103,0.09149277688603531,0.0007384615384615383,0.01681820883104534,0.0011887568873897832,0.02630962695829333,0.49350649350649356,0.5443037974683544,0.5522388059701492,0.43137254901960786,0.608695652173913,0.6363636363636364
2020-03-26,0.000728000728000728,0.021660649819494587,0.003900413632574745,0.14446227929373998,0.0011207692307692307,0.02953586497890295,0.002319664093392093,0.09796735592347142,0.4675324675324676,0.5316455696202531,0.5373134328358208,0.37254901960784315,0.5797101449275361,0.6818181818181819
2020-03-27,0.001001001001001001,0.021660649819494587,0.004686787348819653,0.08025682182985554,0.0015323076923076922,0.03179414036964402,0.0029204627704185384,0.052045523733695524,0.4155844155844156,0.49367088607594933,0.4776119402985074,0.2941176470588236,0.5652173913043478,0.7727272727272728
2020-03-28,0.001911001911001911,0.07220216606498195,0.0057877105515625245,0.11235955056179775,0.0020392307692307693,0.03916324953943068,0.003890931724535496,0.08406903496241482,0.35064935064935077,0.4177215189873418,0.32835820895522383,0.21568627450980404,0.6666666666666666,0.5
2020-03-29,0.002002002002002002,0.007220216606498195,0.0068571788056556,0.10914927768860352,0.002581538461538462,0.0418969513282225,0.004391574761589703,0.04336931831487249,0.3376623376623378,0.379746835443038,0.32835820895522383,0.13725490196078427,0.5942028985507246,0.4545454545454546
2020-03-30,0.0023205023205023203,0.025270758122743684,0.007769372316499693,0.09309791332263243,0.0032553846153846157,0.052059190586557315,0.005628990259492314,0.10719387396670023,0.4415584415584416,0.43037974683544306,0.4179104477611939,0.2941176470588236,0.5652173913043478,0.6363636363636364
2020-03-31,0.0029575029575029574,0.05054151624548737,0.01045877042605728,0.27447833065810595,0.003910769230769231,0.05063291139240506,0.006448076869791586,0.07095520221061752,0.4415584415584416,0.45569620253164556,0.3582089552238805,0.3529411764705883,0.536231884057971,0.7272727272727273
2020-04-01,0.003412503412503412,0.036101083032490974,0.012440432190994449,0.20224719101123595,0.004606153846153847,0.05372318297973495,0.007156870629595113,0.06140083834859378,0.5064935064935066,0.569620253164557,0.4328358208955223,0.33333333333333326,0.536231884057971,0.6818181818181819
2020-04-02,0.005278005278005277,0.148014440433213,0.01517701272352673,0.27929373996789725,0.0054,0.061330005348546976,0.00847565413729973,0.11424255907079128,0.48051948051948057,0.569620253164557,0.4179104477611939,0.2941176470588236,0.5217391304347826,0.7272727272727273
2020-04-03,0.00687050687050687,0.1263537906137184,0.01775631851281003,0.26324237560192615,0.006375384615384616,0.07535508409104415,0.010212631369800709,0.1504695220476313,0.37662337662337664,0.46835443037974683,0.31343283582089543,0.21568627450980404,0.49275362318840576,0.8636363636363636
2020-04-04,0.008144508144508143,0.10108303249097474,0.02050862651966721,0.2808988764044944,0.0073607692307692315,0.07612765198787662,0.011404632164558014,0.10325972414116104,0.2987012987012988,0.3924050632911392,0.19402985074626855,0.11764705882352944,0.608695652173913,0.5909090909090909
2020-04-05,0.009373009373009372,0.09747292418772563,0.022238648695406007,0.17656500802568217,0.008243846153846154,0.06822368812028287,0.012796403588031873,0.12056529986183641,0.24675324675324684,0.2911392405063291,0.0,0.0,0.536231884057971,0.5454545454545455
2020-04-06,0.01019201019201019,0.06498194945848376,0.023968670871144807,0.17656500802568217,0.00883076923076923,0.04534379271409045,0.013971914520337608,0.10183125307355455,0.37662337662337664,0.3924050632911392,0.29850746268656714,0.21568627450980404,0.49275362318840576,0.7272727272727273
2020-04-07,0.012922012922012921,0.21660649819494585,0.028954280232137523,0.5088282504012841,0.009722307692307693,0.06887739941760265,0.015791881716324355,0.15765871250263447,0.38961038961038963,0.4177215189873418,0.3582089552238805,0.27450980392156854,0.4782608695652173,0.7727272727272728
2020-04-08,0.013513513513513513,0.04693140794223827,0.029945111114606113,0.10112359550561797,0.010496153846153846,0.059784869554882034,0.016368215925287408,0.04992623469077114,0.38961038961038963,0.4177215189873418,0.3731343283582089,0.2549019607843137,0.4782608695652173,0.7727272727272728
2020-04-09,0.01556101556101556,0.1624548736462094,0.033184970825535134,0.3306581059390048,0.01130076923076923,0.06216200154513579,0.01751791076145995,0.0995948762382034,0.38961038961038963,0.44303797468354433,0.3582089552238805,0.23529411764705888,0.46376811594202894,0.8181818181818182
